frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,203,129,8,12,0,10
0,228,145,9,22,0,10
0,253,161,10,22,0,10
0,279,177,11,13,0,10
0,236,131,9,25,65534,10
0,263,145,10,26,65534,10
0,289,160,11,16,65534,10
0,203,129,8,23,65535,10
0,228,145,9,41,65535,10
0,253,161,10,42,65535,10
0,279,177,11,26,65535,10
1,158,139,7,18,0,10
1,180,159,8,27,0,10
1,203,179,9,24,0,10
1,235,187,10,13,0,10
1,164,131,7,26,65534,10
1,188,150,8,39,65534,10
1,211,169,9,35,65534,10
1,235,187,10,19,65534,10
1,158,139,7,37,65535,10
1,180,159,8,56,65535,10
1,203,179,9,50,65535,10
1,225,199,10,27,65535,10
2,101,149,6,41,0,10
2,118,174,7,58,0,10
2,135,199,8,49,0,10
2,152,223,9,24,0,10
2,57026,12509,504,5,1,10
2,57009,12534,505,6,1,10
2,56992,12558,506,4,1,10
2,101,149,6,39,65534,10
2,118,174,7,55,65534,10
2,135,199,8,47,65534,10
2,152,223,9,23,65534,10
2,96,153,6,77,65535,10
2,112,178,7,110,65535,10
2,128,203,8,93,65535,10
2,144,229,9,46,65535,10
2,39,176,6,28,65534,10
2,46,205,7,39,65534,10
3,61,137,5,47,0,10
3,73,165,6,78,0,10
3,85,192,7,77,0,10
3,98,219,8,45,0,10
3,59378,13852,505,4,0,10
3,59365,13879,506,4,0,10
3,59390,13824,504,5,1,10
3,59378,13852,505,9,1,10
3,59365,13879,506,9,1,10
3,59353,13907,507,5,1,10
3,66,135,5,39,65534,10
3,79,162,6,64,65534,10
3,92,189,7,63,65534,10
3,105,216,8,38,65534,10
3,56,139,5,95,65535,10
3,68,167,6,157,65535,10
3,79,195,7,154,65535,10
3,90,223,8,91,65535,10
3,101,250,9,31,65535,10
3,5,150,5,34,0,10
3,6,180,6,57,0,10
3,7,210,7,55,0,10
3,65061,15182,506,7,1,10
3,65060,15212,507,4,1,10
3,5,150,5,34,65534,10
3,6,180,6,57,65534,10
3,7,210,7,55,65534,10
3,8,240,8,31,65534,10
4,None, None, None, None, None
5,65489,143,5,19,0,10
5,65480,171,6,28,0,10
5,65470,200,7,23,0,10
5,65489,143,5,42,1,10
5,65480,171,6,61,1,10
5,65470,200,7,52,1,10
5,65480,171,6,11,65535,10
5,4747,14429,506,3,65535,10
5,65433,109,5,15,0,10
5,65412,131,6,23,0,10
5,65392,153,7,21,0,10
5,65433,109,5,32,1,10
5,65412,131,6,47,1,10
5,65392,153,7,42,1,10
5,65412,131,6,8,65535,10
5,10443,11030,506,3,65535,10
6,65429,145,6,24,0,10
6,65411,169,7,32,0,10
6,65393,193,8,25,0,10
6,65376,217,9,10,0,10
6,65429,145,6,45,1,10
6,65411,169,7,60,1,10
6,65393,193,8,47,1,10
6,65376,217,9,20,1,10
6,65423,141,6,25,2,10
6,65405,164,7,33,2,10
6,65386,187,8,26,2,10
6,65274,67,9,8,0,10
6,65266,0,9,14,1,10
7,65378,139,7,9,0,10
7,65356,159,8,12,0,10
7,65333,179,9,9,0,10
7,65378,139,7,17,1,10
7,65356,159,8,22,1,10
7,65333,179,9,18,1,10
7,65378,139,7,10,2,10
7,65348,150,8,13,2,10
7,65325,169,9,11,2,10
8,65341,140,8,6,0,10
8,65316,157,9,9,0,10
8,65292,175,10,8,0,10
8,65341,140,8,12,1,10
8,65316,157,9,18,1,10
8,65292,175,10,15,1,10
8,65308,145,9,9,2,10
8,65283,161,10,8,2,10
9,65283,161,10,8,1,10
