frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65423,436,15,15,0,10
0,65416,465,16,18,0,10
0,65392,490,17,14,0,10
0,65431,407,14,11,65534,10
0,65423,436,15,23,65534,10
0,65416,465,16,27,65534,10
0,65408,494,17,21,65534,10
0,65418,403,14,16,65535,10
0,65409,432,15,32,65535,10
0,65401,461,16,38,65535,10
0,65392,490,17,30,65535,10
0,65350,507,18,17,65535,10
1,65480,356,12,18,0,10
1,65475,385,13,51,0,10
1,65470,415,14,78,0,10
1,65466,445,15,71,0,10
1,65446,472,16,39,0,10
1,2331,14736,497,5,1,10
1,2336,14765,498,6,1,10
1,65491,357,12,20,65534,10
1,65487,387,13,56,65534,10
1,65483,417,14,87,65534,10
1,65466,445,15,81,65534,10
1,65461,474,16,45,65534,10
1,65480,356,12,35,65535,10
1,65475,385,13,96,65535,10
1,65457,413,14,148,65535,10
1,65452,442,15,137,65535,10
1,65446,472,16,75,65535,10
2,26,419,14,18,1,10
2,24,389,13,14,65535,10
2,13,420,14,22,65535,10
2,14,450,15,18,65535,10
3,144,395,14,9,0,10
3,155,423,15,8,0,10
3,131,399,14,18,1,10
3,141,428,15,17,1,10
3,131,399,14,9,2,10
4,171,384,14,8,0,10
4,183,411,15,10,0,10
4,195,439,16,7,0,10
4,171,384,14,16,1,10
4,183,411,15,21,1,10
4,195,439,16,15,1,10
4,158,390,14,7,2,10
4,169,417,15,9,2,10
5,None, None, None, None, None
6,197,371,14,10,0,10
6,211,398,15,12,0,10
6,225,424,16,9,0,10
6,210,364,14,11,65534,10
6,225,390,15,13,65534,10
6,184,378,14,20,65535,10
6,211,398,15,23,65535,10
6,225,424,16,17,65535,10
7,169,318,12,12,65533,10
7,183,345,13,19,65533,10
7,197,371,14,19,65533,10
7,225,390,15,13,65533,10
7,169,318,12,20,65534,10
7,183,345,13,32,65534,10
7,197,371,14,30,65534,10
7,225,390,15,19,65534,10
7,171,351,13,17,65535,10
7,184,378,14,15,65535,10
8,94,285,10,9,0,10
8,103,314,11,13,0,10
8,113,342,12,10,0,10
8,84,257,9,33,65533,10
8,94,285,10,70,65533,10
8,103,314,11,85,65533,10
8,113,342,12,62,65533,10
8,110,374,13,28,65533,10
8,84,257,9,39,65534,10
8,94,285,10,80,65534,10
8,103,314,11,93,65534,10
8,113,342,12,64,65534,10
8,122,371,13,25,65534,10
8,68,262,9,14,65535,10
8,75,291,10,25,65535,10
8,83,320,11,26,65535,10
8,101,346,12,16,65535,10
9,472,15092,503,7,2,10
9,473,15122,504,6,2,10
9,65523,210,7,40,65535,10
9,65521,240,8,81,65535,10
9,65519,270,9,93,65535,10
9,65517,300,10,64,65535,10
10,65384,223,9,25,0,10
10,65408,203,8,44,1,10
10,65392,229,9,47,1,10
10,65377,254,10,30,1,10
10,65221,779,28,38,65533,10
10,65210,807,29,44,65533,10
10,64906,556,28,29,65533,10
10,64883,576,29,31,65533,10
11,65418,174,7,7,0,10
11,65401,199,8,7,0,10
11,65418,174,7,14,1,10
11,65393,193,8,15,1,10
11,65333,179,9,12,2,10
11,65339,73,7,5,0,10
11,65318,102,8,6,0,10
11,65326,116,8,12,1,10
12,None, None, None, None, None
13,65291,114,9,7,65535,10
13,65264,127,10,8,65535,10
14,65372,131,7,12,65533,10
14,65333,129,8,17,65533,10
14,65300,131,9,16,65533,10
14,65273,145,10,10,65533,10
14,65372,131,7,20,65534,10
14,65341,140,8,26,65534,10
14,65308,145,9,22,65534,10
14,65273,145,10,13,65534,10
15,65466,133,5,18,0,10
15,65452,159,6,22,0,10
15,65431,182,7,17,0,10
15,65363,167,8,7,0,10
15,11843,9463,505,4,2,10
15,12341,8855,506,4,2,10
15,65419,94,5,26,65533,10
15,65395,112,6,52,65533,10
15,65378,139,7,62,65533,10
15,65356,159,8,45,65533,10
15,65333,179,9,21,65533,10
15,65320,209,10,8,65533,10
15,65470,135,5,51,65534,10
15,65390,105,6,84,65534,10
15,65372,131,7,85,65534,10
15,65348,150,8,58,65534,10
15,65333,179,9,28,65534,10
15,65330,218,10,14,65534,10
15,65466,133,5,52,65535,10
15,65446,156,6,69,65535,10
15,65431,182,7,55,65535,10
15,65326,116,8,25,65535,10
15,7120,13417,506,3,2,10
15,65466,133,5,19,65533,10
15,65414,87,5,51,65534,10
15,65452,159,6,71,65534,10
15,65378,87,6,51,65535,10
15,65352,102,7,45,65535,10
15,65416,208,8,25,65535,10
16,65494,144,5,27,0,10
16,65485,173,6,27,0,10
16,65392,153,7,17,0,10
16,90,223,8,9,0,10
16,65527,150,5,29,1,10
16,56,171,6,38,1,10
16,72,197,7,33,1,10
16,83,226,8,19,1,10
16,47,143,5,15,2,10
16,56,171,6,21,2,10
16,72,197,7,19,2,10
16,83,226,8,11,2,10
16,65489,143,5,55,65535,10
16,65474,169,6,56,65535,10
16,65464,197,7,34,65535,10
16,65433,109,5,24,0,10
16,65412,131,6,26,0,10
16,65470,200,7,16,0,10
16,65416,208,8,7,0,10
16,47,143,5,29,1,10
16,65525,180,6,35,1,10
16,65523,210,7,28,1,10
16,65521,240,8,15,1,10
16,65527,150,5,12,2,10
16,65525,180,6,15,2,10
16,118,174,7,16,2,10
16,65433,109,5,45,65535,10
16,65407,125,6,46,65535,10
16,65385,146,7,29,65535,10
17,15,119,4,27,0,10
17,75,130,5,55,0,10
17,90,156,6,64,0,10
17,105,182,7,46,0,10
17,120,208,8,20,0,10
17,57941,13154,506,3,0,10
17,57926,13180,507,3,0,10
17,60,104,4,52,1,10
17,75,130,5,106,1,10
17,90,156,6,124,1,10
17,105,182,7,89,1,10
17,165,174,8,46,1,10
17,56,106,4,31,2,10
17,70,133,5,63,2,10
17,84,159,6,74,2,10
17,144,153,7,68,2,10
17,165,174,8,47,2,10
17,124,131,6,18,3,10
17,144,153,7,21,3,10
17,165,174,8,14,3,10
17,422,795,30,28,3,10
17,407,837,31,30,3,10
17,381,783,29,14,4,10
17,394,810,30,22,4,10
17,407,837,31,22,4,10
17,420,864,32,13,4,10
17,57009,12534,505,4,65535,10
17,57467,12869,506,7,65535,10
17,63158,15032,507,6,65535,10
17,60,104,4,27,0,10
17,19,149,5,55,0,10
17,23,179,6,64,0,10
17,26,208,7,45,0,10
17,30,238,8,19,0,10
17,63637,15070,506,3,0,10
17,63158,15032,507,3,0,10
17,15,119,4,49,1,10
17,19,149,5,97,1,10
17,23,179,6,113,1,10
17,26,208,7,80,1,10
17,30,238,8,34,1,10
17,11,120,4,26,2,10
17,19,149,5,52,2,10
17,23,179,6,61,2,10
17,84,897,30,25,3,10
17,58,929,31,25,3,10
17,54,869,29,11,4,10
17,56,899,30,17,4,10
17,58,929,31,17,4,10
17,60,959,32,10,4,10
17,63167,14973,505,4,65535,10
17,63163,15003,506,6,65535,10
17,57451,12894,507,6,65535,10
18,146,105,6,9,0,10
18,171,122,7,12,0,10
18,203,129,8,10,0,10
18,141,112,6,18,1,10
18,171,122,7,22,1,10
