frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65350,507,18,18,65535,10
0,65340,536,19,21,65535,10
0,65330,564,20,15,65535,10
1,None, None, None, None, None
2,None, None, None, None, None
3,65371,451,16,20,0,10
3,65361,479,17,38,0,10
3,65350,507,18,40,0,10
3,65340,536,19,24,0,10
3,65386,456,16,17,65534,10
3,65377,485,17,33,65534,10
3,65367,513,18,35,65534,10
3,65358,542,19,21,65534,10
3,65371,451,16,37,65535,10
3,65361,479,17,72,65535,10
3,65350,507,18,76,65535,10
3,65322,529,19,47,65535,10
4,65431,407,14,14,0,10
4,65423,436,15,25,0,10
4,65416,465,16,35,0,10
4,65392,490,17,33,0,10
4,65384,519,18,21,0,10
4,65444,410,14,17,65534,10
4,65438,439,15,34,65534,10
4,65416,465,16,50,65534,10
4,65408,494,17,49,65534,10
4,65401,523,18,32,65534,10
4,65431,407,14,28,65535,10
4,65423,436,15,51,65535,10
4,65401,461,16,71,65535,10
4,65392,490,17,70,65535,10
4,65384,519,18,44,65535,10
5,65497,418,14,33,0,10
5,65494,448,15,67,0,10
5,65491,478,16,71,0,10
5,65488,508,17,42,0,10
5,1396,14823,496,4,1,10
5,1399,14853,497,4,1,10
5,65510,419,14,33,65534,10
5,65508,449,15,65,65534,10
5,65506,479,16,68,65534,10
5,65488,508,17,40,65534,10
5,65499,389,13,21,65535,10
5,65497,418,14,62,65535,10
5,65494,448,15,124,65535,10
5,65476,477,16,132,65535,10
5,65472,506,17,79,65535,10
6,11,360,12,16,65535,10
6,12,390,13,21,65535,10
6,26,419,14,17,65535,10
7,155,423,15,13,1,10
7,165,451,16,12,1,10
8,211,398,15,6,1,10
8,210,432,16,7,1,10
9,None, None, None, None, None
10,210,364,14,9,0,10
10,225,390,15,11,0,10
10,207,331,13,8,65534,10
10,223,356,14,18,65534,10
10,239,381,15,23,65534,10
10,255,407,16,18,65534,10
10,210,364,14,21,65535,10
10,225,390,15,26,65535,10
10,240,416,16,20,65535,10
11,169,318,12,21,65533,10
11,183,345,13,26,65533,10
11,197,371,14,20,65533,10
11,169,318,12,25,65534,10
11,183,345,13,31,65534,10
11,197,371,14,23,65534,10
12,94,285,10,13,0,10
12,103,314,11,12,0,10
12,60836,14286,501,3,2,10
12,60827,14314,502,4,2,10
12,84,257,9,55,65533,10
12,94,285,10,86,65533,10
12,103,314,11,79,65533,10
12,113,342,12,42,65533,10
12,84,257,9,62,65534,10
12,94,285,10,96,65534,10
12,103,314,11,86,65534,10
12,113,342,12,46,65534,10
12,59,264,9,22,65535,10
12,75,291,10,29,65535,10
12,83,320,11,24,65535,10
