frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65365,351,13,13,0,10
0,65352,378,14,16,0,10
0,65325,398,15,16,0,10
0,65296,416,16,16,0,10
0,65281,442,17,16,0,10
0,65365,384,14,14,65534,10
0,65339,405,15,13,65534,10
0,65311,424,16,15,65534,10
0,65297,451,17,15,65534,10
0,65365,351,13,27,65535,10
0,65352,378,14,34,65535,10
0,65325,398,15,31,65535,10
0,65296,416,16,31,65535,10
0,65265,432,17,30,65535,10
1,65390,362,13,24,0,10
1,65365,384,14,22,0,10
1,65353,411,15,22,0,10
1,65341,439,16,21,0,10
1,65390,362,13,20,65534,10
1,65378,390,14,19,65534,10
1,65367,417,15,20,65534,10
1,65356,445,16,20,65534,10
1,65390,329,12,31,65535,10
1,65377,357,13,46,65535,10
1,65365,384,14,43,65535,10
1,65353,411,15,41,65535,10
1,65326,432,16,40,65535,10
1,65313,459,17,27,65535,10
2,65423,342,12,30,0,10
2,65414,371,13,32,0,10
2,65405,399,14,17,0,10
2,65435,346,12,26,65534,10
2,65426,374,13,27,65534,10
2,65418,403,14,14,65534,10
2,65433,314,11,32,65535,10
2,65423,342,12,61,65535,10
2,65414,371,13,63,65535,10
2,65405,399,14,34,65535,10
2,65260,317,14,10,65534,10
3,65484,326,11,18,0,10
3,65480,356,12,24,0,10
3,65475,385,13,18,0,10
3,65495,328,11,15,65534,10
3,65491,357,12,20,65534,10
3,65487,387,13,15,65534,10
3,65474,324,11,41,65535,10
3,65468,354,12,54,65535,10
3,65463,383,13,41,65535,10
3,65457,413,14,17,65535,10
4,10,330,11,8,65534,10
4,11,360,12,9,65534,10
4,0,330,11,25,65535,10
4,0,360,12,28,65535,10
4,0,390,13,18,65535,10
4,65422,310,11,6,65534,10
4,65412,338,12,7,65534,10
5,None, None, None, None, None
6,90,349,12,18,1,10
6,83,320,11,9,65535,10
6,90,349,12,9,65535,10
7,135,334,12,10,0,10
7,114,310,11,24,1,10
7,124,338,12,30,1,10
7,134,366,13,21,1,10
7,114,310,11,9,65535,10
7,124,338,12,11,65535,10
8,None, None, None, None, None
9,None, None, None, None, None
10,134,302,11,11,0,10
10,146,329,12,15,0,10
10,159,357,13,10,0,10
10,134,302,11,29,65535,10
10,146,329,12,37,65535,10
10,159,357,13,27,65535,10
11,113,278,10,17,0,10
11,124,306,11,27,0,10
11,135,334,12,24,0,10
11,146,362,13,11,0,10
11,134,302,11,24,65534,10
11,146,329,12,21,65534,10
11,113,278,10,33,65535,10
11,124,306,11,52,65535,10
11,135,334,12,45,65535,10
11,146,362,13,21,65535,10
12,93,254,9,35,0,10
12,103,282,10,54,0,10
12,114,310,11,47,0,10
12,124,338,12,22,0,10
12,103,282,10,8,1,10
12,60366,14123,501,4,1,10
12,59885,13970,502,5,1,10
12,101,250,9,45,65534,10
12,113,278,10,69,65534,10
12,124,306,11,60,65534,10
12,135,334,12,30,65534,10
12,93,254,9,69,65535,10
12,103,282,10,106,65535,10
12,114,310,11,92,65535,10
12,124,338,12,45,65535,10
13,60,233,8,34,0,10
13,68,262,9,44,0,10
13,75,291,10,33,0,10
13,68,262,9,8,1,10
13,61289,14490,503,4,1,10
13,61281,14519,504,3,1,10
13,60,233,8,70,65535,10
13,68,262,9,92,65535,10
13,75,291,10,69,65535,10
14,23,179,6,34,0,10
14,26,208,7,70,0,10
14,30,238,8,82,0,10
14,34,268,9,56,0,10
14,63172,14943,504,4,0,10
14,63641,15040,505,4,0,10
14,23,179,6,7,1,10
14,26,208,7,14,1,10
14,30,238,8,17,1,10
14,34,268,9,12,1,10
14,63177,14914,503,6,1,10
14,63172,14943,504,10,1,10
14,63167,14973,505,9,1,10
14,63163,15003,506,4,1,10
14,63177,14914,503,5,2,10
14,63172,14943,504,8,2,10
14,63167,14973,505,7,2,10
14,28,178,6,57,65534,10
14,33,208,7,119,65534,10
14,38,237,8,136,65534,10
14,42,267,9,89,65534,10
14,23,179,6,76,65535,10
14,26,208,7,157,65535,10
14,30,238,8,182,65535,10
14,34,268,9,121,65535,10
14,3303,14734,503,3,2,10
14,3310,14763,504,6,2,10
14,3316,14792,505,5,2,10
14,65497,176,6,47,65534,10
14,65490,205,7,97,65534,10
14,65483,234,8,112,65534,10
14,65477,264,9,74,65534,10
15,65527,150,5,105,0,10
15,65525,180,6,205,0,10
15,65523,210,7,230,0,10
15,65521,240,8,152,0,10
15,65511,269,9,58,0,10
15,946,15100,504,9,0,10
15,947,15130,505,14,0,10
15,949,15160,506,12,0,10
15,951,15190,507,6,0,10
15,65527,150,5,13,1,10
15,65525,180,6,27,1,10
