frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65494,80,3,26,1,10
0,65480,106,4,31,1,10
0,65466,133,5,20,1,10
0,65494,80,3,34,65535,10
0,65480,106,4,40,65535,10
0,65466,133,5,26,65535,10
1,3,90,3,63,0,10
1,4,120,4,99,0,10
1,5,150,5,96,0,10
1,6,180,6,60,0,10
1,13,210,7,22,0,10
1,65060,15212,507,5,0,10
1,65059,15242,508,6,0,10
1,3,90,3,117,1,10
1,4,120,4,184,1,10
1,5,150,5,180,1,10
1,6,180,6,112,1,10
1,7,210,7,42,1,10
1,0,90,3,56,2,10
1,0,120,4,91,2,10
1,0,150,5,92,2,10
1,6,180,6,60,2,10
1,7,210,7,24,2,10
1,65060,15212,507,5,65534,10
1,0,15249,508,5,65534,10
1,64587,15160,506,6,65535,10
1,64585,15190,507,11,65535,10
1,64583,15219,508,11,65535,10
1,64581,15249,509,7,65535,10
2,103,109,5,11,0,10
2,124,131,6,12,0,10
2,1148,1831,72,48,0,10
2,83,87,4,31,1,10
2,103,109,5,59,1,10
2,124,131,6,65,1,10
2,144,153,7,44,1,10
2,79,91,4,47,2,10
2,98,113,5,87,2,10
2,124,131,6,97,2,10
2,144,153,7,66,2,10
2,165,174,8,27,2,10
2,79,91,4,22,3,10
2,98,113,5,41,3,10
2,118,136,6,46,3,10
2,138,159,7,33,3,10
2,165,174,8,17,3,10
2,55093,11030,506,5,65534,10
2,55073,11052,507,5,65534,10
2,54619,10561,506,3,65535,10
2,47,143,5,9,0,10
2,56,171,6,10,0,10
2,405,2123,72,46,0,10
2,38,114,4,25,1,10
2,47,143,5,45,1,10
2,56,171,6,48,1,10
2,38,114,4,34,2,10
2,47,143,5,62,2,10
2,60315,14264,506,3,65535,10
3,144,153,7,45,2,10
3,165,174,8,50,2,10
3,186,196,9,33,2,10
3,144,153,7,32,3,10
3,165,174,8,35,3,10
3,186,196,9,23,3,10
