frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,113,342,12,12,0,10
0,113,342,12,27,1,10
1,114,310,11,13,0,10
1,113,342,12,26,0,10
1,122,371,13,27,0,10
1,131,399,14,18,0,10
1,113,342,12,52,1,10
1,122,371,13,55,1,10
1,131,399,14,36,1,10
1,101,346,12,37,2,10
1,110,374,13,39,2,10
1,118,403,14,26,2,10
2,79,351,12,13,0,10
2,85,381,13,24,0,10
2,92,410,14,29,0,10
2,98,439,15,20,0,10
2,79,351,12,29,1,10
2,85,381,13,55,1,10
2,92,410,14,66,1,10
2,98,439,15,46,1,10
2,68,354,12,24,2,10
2,85,381,13,48,2,10
2,92,410,14,57,2,10
2,84,442,15,39,2,10
2,73,383,13,11,3,10
2,79,413,14,14,3,10
3,39,418,14,16,0,10
3,42,448,15,22,0,10
3,26,419,14,31,1,10
3,28,449,15,41,1,10
3,26,419,14,19,2,10
3,28,449,15,25,2,10
4,None, None, None, None, None
5,65480,447,15,13,0,10
5,65461,474,16,14,0,10
5,65466,445,15,26,65535,10
5,65461,474,16,29,65535,10
6,65392,395,14,15,0,10
6,65381,423,15,15,0,10
6,65361,479,17,13,65533,10
6,65405,399,14,35,65534,10
6,65395,428,15,35,65534,10
6,65371,451,16,28,65534,10
6,65361,479,17,27,65534,10
6,65378,390,14,37,65535,10
6,65367,417,15,38,65535,10
7,65365,351,13,19,65532,10
7,65339,371,14,28,65532,10
7,65311,390,15,29,65532,10
7,65296,416,16,18,65532,10
7,65412,306,11,42,65533,10
7,65390,329,12,67,65533,10
7,65377,357,13,67,65533,10
7,65326,364,14,64,65533,10
7,65297,381,15,63,65533,10
7,65281,407,16,41,65533,10
7,65401,334,12,86,65534,10
7,65377,357,13,80,65534,10
7,65352,378,14,48,65534,10
7,65311,390,15,38,65534,10
7,65378,324,12,38,65535,10
7,65365,351,13,34,65535,10
8,65367,248,10,31,65533,10
8,65350,273,11,50,65533,10
8,65333,298,12,46,65533,10
8,65329,331,13,24,65533,10
8,65418,243,9,25,65534,10
8,65395,265,10,29,65534,10
8,65361,280,11,43,65534,10
8,65345,305,12,41,65534,10
8,65329,331,13,21,65534,10
8,65316,157,9,19,65534,10
8,65301,187,10,25,65534,10
9,65451,192,7,26,0,10
9,65438,219,8,35,0,10
9,65342,188,9,41,0,10
9,65339,227,10,37,0,10
9,65340,266,11,22,0,10
9,65363,167,8,37,65534,10
9,65350,196,9,47,65534,10
9,65348,234,10,42,65534,10
9,65444,189,7,50,65535,10
9,65438,219,8,66,65535,10
9,65342,188,9,77,65535,10
9,65339,227,10,70,65535,10
9,65330,258,11,41,65535,10
9,65356,159,8,33,0,10
9,65446,223,8,32,65534,10
9,65356,159,8,59,65535,10
10,None, None, None, None, None
11,None, None, None, None, None
12,None, None, None, None, None
13,42,267,9,26,0,10
13,47,296,10,31,0,10
13,42,267,9,53,1,10
13,47,296,10,62,1,10
14,None, None, None, None, None
15,110,247,9,20,0,10
15,122,274,10,29,0,10
