frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,0,150,5,14,65535,10
1,65508,147,5,87,0,10
1,65502,177,6,95,0,10
1,65497,206,7,62,0,10
1,2848,14920,506,5,0,10
1,2378,15032,507,5,0,10
1,65508,147,5,157,1,10
1,65502,177,6,170,1,10
1,65497,206,7,111,1,10
1,65508,147,5,92,2,10
1,65502,177,6,100,2,10
1,65490,205,7,65,2,10
1,63637,15070,506,6,65534,10
1,63634,15100,507,5,65534,10
1,2842,14890,505,6,65535,10
1,2373,15003,506,10,65535,10
1,2378,15032,507,10,65535,10
1,23,148,5,78,0,10
1,23,179,6,83,0,10
1,26,208,7,52,0,10
1,63163,15003,506,5,0,10
1,63158,15032,507,4,0,10
1,19,149,5,150,1,10
1,23,179,6,160,1,10
1,26,208,7,101,1,10
1,19,149,5,92,2,10
1,23,179,6,99,2,10
1,26,208,7,64,2,10
1,2848,14920,506,5,65534,10
1,2854,14949,507,5,65534,10
1,63167,14973,505,5,65535,10
1,63163,15003,506,9,65535,10
1,63158,15032,507,8,65535,10
2,53,203,7,96,1,10
2,4264,14547,505,5,65535,10
2,65464,197,7,79,1,10
2,61272,14547,505,4,65535,10
3,None, None, None, None, None
4,66,293,10,28,0,10
5,90,349,12,17,0,10
5,90,349,12,35,1,10
6,146,329,12,52,0,10
6,171,351,13,53,0,10
6,184,378,14,33,0,10
6,146,329,12,99,1,10
6,159,357,13,101,1,10
6,184,378,14,63,1,10
6,135,334,12,62,2,10
6,159,357,13,63,2,10
6,171,384,14,39,2,10
7,146,329,12,107,0,10
7,159,357,13,196,0,10
7,171,384,14,212,0,10
7,183,411,15,139,0,10
7,210,432,16,52,0,10
7,59009,13416,497,6,0,10
7,58996,13443,498,9,0,10
7,59451,13687,499,9,0,10
7,59439,13715,500,5,0,10
7,146,329,12,202,1,10
7,159,357,13,371,1,10
7,171,384,14,403,1,10
7,183,411,15,264,1,10
7,195,439,16,99,1,10
7,135,334,12,123,2,10
7,146,362,13,225,2,10
7,171,384,14,245,2,10
7,183,411,15,161,2,10
7,195,439,16,60,2,10
7,59475,13632,497,7,65534,10
7,59463,13660,498,11,65534,10
7,59451,13687,499,10,65534,10
7,59439,13715,500,6,65534,10
7,135,334,12,11,65535,10
7,159,357,13,20,65535,10
7,171,384,14,21,65535,10
7,183,411,15,14,65535,10
7,59009,13416,497,11,65535,10
7,58996,13443,498,17,65535,10
7,58983,13470,499,16,65535,10
7,58970,13496,500,9,65535,10
8,180,312,12,19,0,10
8,207,331,13,66,0,10
8,223,356,14,117,0,10
8,239,381,15,120,0,10
8,105,469,16,74,0,10
8,112,498,17,27,0,10
8,57610,12640,497,5,0,10
8,57594,12665,498,5,0,10
8,180,312,12,36,1,10
8,195,338,13,125,1,10
8,210,364,14,218,1,10
8,225,390,15,223,1,10
8,255,407,16,137,1,10
8,112,498,17,50,1,10
8,195,338,13,68,2,10
