frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65465,97,4,17,1,10
0,65447,121,5,19,1,10
0,65465,97,4,11,65535,10
0,65447,121,5,13,65535,10
0,65435,149,6,9,65535,10
1,65452,124,5,29,0,10
1,65435,149,6,22,0,10
1,65393,193,8,15,0,10
1,65376,217,9,16,0,10
1,65447,121,5,56,1,10
1,65429,145,6,44,1,10
1,65516,209,7,25,1,10
1,65393,193,8,30,1,10
1,65376,217,9,32,1,10
1,65510,208,7,15,2,10
1,65386,187,8,24,2,10
1,65376,217,9,23,2,10
1,65358,242,10,11,2,10
1,65513,148,5,22,0,10
1,65513,179,6,17,0,10
1,65513,148,5,45,1,10
1,65508,178,6,36,1,10
2,65480,106,4,31,0,10
2,65466,133,5,52,0,10
2,65452,159,6,52,0,10
2,65431,182,7,30,0,10
2,65480,106,4,61,1,10
2,65466,133,5,101,1,10
2,65446,156,6,100,1,10
2,65431,182,7,58,1,10
2,65517,149,5,73,2,10
2,65513,179,6,72,2,10
2,65330,218,10,25,3,10
2,65309,240,11,22,3,10
2,65330,218,10,13,4,10
2,65422,310,11,11,4,10
2,65466,133,5,8,65535,10
2,65446,156,6,8,65535,10
2,7120,13417,506,5,65535,10
2,7134,13444,507,6,65535,10
2,7148,13470,508,3,65535,10
2,65525,120,4,26,0,10
2,65522,149,5,42,0,10
2,65519,179,6,40,0,10
2,65516,209,7,21,0,10
2,65521,119,4,55,1,10
2,65517,149,5,91,1,10
2,65513,179,6,87,1,10
2,65510,208,7,50,1,10
2,65461,130,5,72,2,10
2,65446,156,6,70,2,10
2,65433,282,10,21,3,10
2,65422,310,11,20,3,10
2,65442,285,10,13,4,10
2,65299,230,11,11,4,10
2,65517,149,5,8,65535,10
2,65513,179,6,7,65535,10
2,1424,15122,506,4,65535,10
2,1427,15152,507,4,65535,10
2,1430,15182,508,3,65535,10
3,65513,179,6,17,1,10
3,65510,208,7,26,1,10
3,65506,238,8,25,1,10
3,65494,267,9,14,1,10
3,65513,179,6,45,2,10
3,65503,208,7,75,2,10
3,65498,237,8,77,2,10
3,65485,265,9,52,2,10
3,65461,291,10,25,2,10
3,65503,208,7,56,3,10
3,65491,236,8,60,3,10
3,65477,264,9,45,3,10
3,2364,14943,504,4,65534,10
3,2369,14973,505,4,65534,10
3,65446,156,6,15,1,10
3,65431,182,7,23,1,10
3,65416,208,8,21,1,10
3,65392,229,9,11,1,10
3,65446,156,6,35,2,10
3,65424,178,7,55,2,10
4,65483,234,8,21,1,10
4,65477,264,9,41,1,10
4,65470,293,10,43,1,10
4,65474,324,11,26,1,10
4,65483,234,8,45,2,10
4,65477,264,9,95,2,10
4,65470,293,10,112,2,10
4,65464,322,11,74,2,10
4,65457,351,12,24,2,10
4,65491,236,8,31,3,10
4,65477,264,9,68,3,10
4,65470,293,10,81,3,10
4,65464,322,11,55,3,10
4,65457,351,12,18,3,10
4,3290,14675,501,3,65534,10
4,3296,14704,502,5,65534,10
4,3303,14734,503,5,65534,10
4,65333,298,12,18,2,10
5,65480,356,12,43,2,10
5,65475,385,13,42,2,10
5,65470,415,14,27,2,10
5,65495,328,11,24,3,10
5,65480,356,12,37,3,10
5,65475,385,13,37,3,10
5,65470,415,14,25,3,10
6,65512,389,13,21,1,10
6,65510,419,14,31,1,10
6,65508,449,15,27,1,10
6,65499,389,13,36,2,10
6,65497,418,14,54,2,10
6,65494,448,15,47,2,10
6,65491,478,16,25,2,10
6,65499,389,13,19,3,10
6,65497,418,14,28,3,10
6,65494,448,15,25,3,10
6,65476,477,16,13,3,10
7,65508,449,15,18,0,10
7,65506,479,16,22,0,10
7,65504,509,17,16,0,10
7,65510,419,14,21,1,10
7,65508,449,15,42,1,10
7,65506,479,16,51,1,10
7,65488,508,17,38,1,10
7,65497,418,14,18,2,10
7,65494,448,15,38,2,10
7,65491,478,16,47,2,10
7,65488,508,17,35,2,10
8,65506,479,16,21,0,10
8,65504,509,17,30,0,10
8,65502,539,18,27,0,10
8,65500,569,19,16,0,10
8,65506,479,16,39,1,10
8,65504,509,17,57,1,10
8,65502,539,18,51,1,10
8,65483,568,19,30,1,10
8,65506,479,16,23,2,10
8,65504,509,17,33,2,10
8,65485,538,18,29,2,10
8,65483,568,19,17,2,10
9,65504,509,17,13,0,10
9,65502,539,18,16,0,10
9,65500,569,19,12,0,10
9,65504,509,17,29,1,10
9,65502,539,18,36,1,10
9,65500,569,19,26,1,10
9,65504,509,17,12,2,10
9,65502,539,18,15,2,10
9,65483,568,19,11,2,10
10,65502,539,18,10,1,10
