frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65498,114,4,22,1,10
0,65489,143,5,25,1,10
0,65485,173,6,18,1,10
0,65490,205,7,11,1,10
1,65405,164,7,12,0,10
1,6,90,3,17,1,10
1,8,120,4,30,1,10
1,9,150,5,30,1,10
1,17,179,6,17,1,10
1,65398,159,7,10,1,10
1,9,150,5,52,65535,10
1,65418,136,6,38,65535,10
1,65405,164,7,30,65535,10
1,65393,193,8,19,65535,10
1,65460,259,9,14,65535,10
1,65452,288,10,9,65535,10
1,65490,205,7,9,0,10
1,65505,85,3,15,1,10
1,65495,113,4,25,1,10
1,65484,141,5,24,1,10
1,65412,131,6,15,1,10
1,65433,109,5,38,65535,10
1,17,179,6,33,65535,10
1,65483,203,7,23,65535,10
1,65476,233,8,18,65535,10
1,65384,223,9,12,65535,10
1,28,299,10,8,65535,10
2,65489,143,5,32,1,10
2,65418,136,6,18,1,10
2,65405,164,7,15,1,10
2,65401,199,8,11,1,10
2,65409,239,9,9,1,10
2,65498,114,4,25,65535,10
2,65489,143,5,23,65535,10
2,65474,169,6,12,65535,10
2,65474,169,6,17,1,10
2,65468,230,8,9,1,10
2,65412,131,6,9,65535,10
3,65494,80,3,108,0,10
3,65480,106,4,235,0,10
3,65466,133,5,286,0,10
3,65452,159,6,206,0,10
3,65444,189,7,86,0,10
3,68,230,8,32,0,10
3,65359,204,9,20,0,10
3,6632,13631,505,5,0,10
3,7120,13417,506,13,0,10
3,7134,13444,507,18,0,10
3,7148,13470,508,15,0,10
3,7162,13497,509,7,0,10
3,65491,78,3,211,1,10
3,65476,104,4,457,1,10
3,65461,130,5,557,1,10
3,65452,159,6,404,1,10
3,65444,189,7,169,1,10
3,68,230,8,62,1,10
3,65359,204,9,40,1,10
3,7134,13444,507,5,1,10
3,7148,13470,508,4,1,10
3,65476,104,4,190,2,10
3,65461,130,5,232,2,10
3,65452,159,6,168,2,10
3,65444,189,7,77,2,10
3,60,233,8,44,2,10
3,65443,254,9,32,2,10
3,65452,288,10,30,2,10
3,65497,81,3,11,65534,10
3,65483,108,4,25,65534,10
3,65470,135,5,31,65534,10
3,65452,159,6,23,65534,10
3,65438,186,7,9,65534,10
3,7120,13417,506,10,65534,10
3,7610,13180,507,14,65534,10
3,7625,13206,508,12,65534,10
3,65494,80,3,28,65535,10
3,65480,106,4,62,65535,10
3,65461,130,5,75,65535,10
3,65446,156,6,56,65535,10
3,65424,178,7,24,65535,10
3,61281,14519,504,3,65535,10
3,6632,13631,505,10,65535,10
3,7120,13417,506,26,65535,10
3,7134,13444,507,37,65535,10
3,7148,13470,508,32,65535,10
3,7162,13497,509,15,65535,10
3,65516,209,7,62,0,10
3,65528,240,8,28,0,10
3,76,259,9,19,0,10
3,65528,90,3,162,1,10
3,65525,120,4,342,1,10
3,65522,149,5,405,1,10
3,65519,179,6,288,1,10
3,65516,209,7,127,1,10
3,65446,223,8,53,1,10
3,76,259,9,35,1,10
3,65521,119,4,154,2,10
3,65517,149,5,184,2,10
3,65519,179,6,132,2,10
3,65516,209,7,62,2,10
3,65446,223,8,39,2,10
3,65359,204,9,29,2,10
3,1899,15070,506,8,65534,10
3,1902,15100,507,11,65534,10
3,1906,15130,508,10,65534,10
3,65528,90,3,23,65535,10
3,65525,120,4,47,65535,10
3,65522,149,5,55,65535,10
3,5673,14025,504,3,65535,10
4,65456,127,5,67,0,10
4,65446,156,6,77,0,10
4,65431,182,7,54,0,10
4,65408,203,8,21,0,10
4,7595,13154,506,4,0,10
4,65456,127,5,120,1,10
4,65440,153,6,138,1,10
4,65424,178,7,95,1,10
4,65440,153,6,69,2,10
4,65497,206,7,52,2,10
4,0,270,9,46,2,10
4,0,300,10,33,2,10
4,7580,13128,505,5,65535,10
4,7595,13154,506,8,65535,10
4,7610,13180,507,7,65535,10
4,65503,208,7,41,0,10
4,65491,236,8,17,0,10
4,59365,13879,506,3,0,10
4,65503,208,7,83,1,10
4,65508,178,6,56,2,10
4,65418,174,7,46,2,10
4,65443,254,9,44,2,10
4,65423,278,10,29,2,10
4,2369,14973,505,4,65535,10
4,58891,13658,506,6,65535,10
4,59353,13907,507,6,65535,10
5,65513,148,5,40,0,10
5,39,176,6,47,0,10
5,61739,14707,506,5,65535,10
5,33,146,5,38,0,10
5,65508,178,6,42,0,10
5,1899,15070,506,5,65535,10
6,23,148,5,21,0,10
6,28,178,6,51,0,10
6,26,208,7,66,0,10
6,30,238,8,48,0,10
6,34,268,9,19,0,10
6,63641,15040,505,3,0,10
6,23,179,6,98,1,10
6,26,208,7,126,1,10
6,30,238,8,93,1,10
6,63172,14943,504,5,65535,10
6,63167,14973,505,7,65535,10
6,63163,15003,506,5,65535,10
6,65498,145,5,19,0,10
6,65491,174,6,43,0,10
6,65483,203,7,55,0,10
6,65476,233,8,40,0,10
6,65468,262,9,15,0,10
6,3790,14678,505,2,0,10
6,65491,174,6,74,1,10
6,65477,202,7,94,1,10
6,65468,230,8,69,1,10
6,3782,14649,504,4,65535,10
6,3790,14678,505,5,65535,10
6,3797,14707,506,5,65535,10
7,20,209,7,43,0,10
7,23,239,8,60,0,10
7,17,270,9,49,0,10
7,19,300,10,23,0,10
7,20,209,7,83,1,10
7,15,240,8,115,1,10
7,17,270,9,95,1,10
7,13,210,7,51,2,10
7,15,240,8,71,2,10
7,8,270,9,58,2,10
7,64120,15033,503,5,65535,10
7,64118,15063,504,6,65535,10
7,64115,15092,505,4,65535,10
7,65477,202,7,33,0,10
7,65468,230,8,44,0,10
7,65452,257,9,36,0,10
7,65433,282,10,16,0,10
7,4255,14519,504,4,65535,10
7,4264,14547,505,3,65535,10
8,65506,238,8,27,0,10
8,65502,268,9,48,0,10
8,65508,299,10,48,0,10
8,65505,329,11,28,0,10
8,65506,238,8,52,1,10
8,65502,268,9,90,1,10
8,65498,298,10,91,1,10
8,1413,15003,502,5,65535,10
8,1416,15033,503,5,65535,10
8,38,237,8,20,0,10
8,65405,270,10,34,0,10
8,65392,297,11,21,0,10
8,38,237,8,39,1,10
9,8,270,9,43,0,10
9,9,300,10,73,0,10
9,10,330,11,74,0,10
9,11,360,12,44,0,10
9,0,270,9,81,1,10
9,0,300,10,139,1,10
9,0,330,11,140,1,10
9,0,360,12,84,1,10
9,12,390,13,29,1,10
9,0,270,9,49,2,10
9,0,300,10,84,2,10
9,0,330,11,85,2,10
9,0,360,12,51,2,10
9,0,15039,501,4,65534,10
9,0,15069,502,4,65534,10
9,65067,15002,500,4,65535,10
9,65066,15032,501,7,65535,10
9,65065,15062,502,7,65535,10
10,65480,356,12,26,0,10
10,65475,385,13,17,0,10
10,65480,356,12,49,1,10
10,65475,385,13,33,1,10
10,65480,356,12,27,2,10
11,10,330,11,35,0,10
11,11,360,12,62,0,10
11,12,390,13,63,0,10
11,13,420,14,36,0,10
11,10,330,11,66,1,10
11,11,360,12,117,1,10
11,0,390,13,119,1,10
11,0,420,14,70,1,10
11,0,330,11,41,2,10
11,0,360,12,72,2,10
11,0,390,13,74,2,10
11,0,420,14,43,2,10
11,0,390,13,6,65535,10
11,65068,14972,499,5,65535,10
11,65067,15002,500,5,65535,10
12,37,389,13,18,0,10
12,39,418,14,19,0,10
12,23,360,12,20,1,10
12,24,389,13,35,1,10
