frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65472,102,4,43,1,10
0,65456,127,5,46,1,10
0,65440,153,6,27,1,10
0,65472,102,4,36,65535,10
0,65456,127,5,39,65535,10
0,65440,153,6,23,65535,10
0,65517,119,4,36,1,10
0,65513,148,5,35,1,10
0,65517,119,4,30,65535,10
0,65513,148,5,30,65535,10
1,8085,12894,507,3,1,10
1,65485,74,3,28,65535,10
1,65468,99,4,54,65535,10
1,65452,124,5,61,65535,10
1,65435,149,6,41,65535,10
1,65418,174,7,15,65535,10
2,65522,149,5,51,0,10
2,65519,179,6,40,0,10
2,65525,120,4,86,1,10
2,65522,149,5,119,1,10
2,65519,179,6,95,1,10
2,65523,210,7,44,1,10
2,0,240,8,37,1,10
2,65525,120,4,21,65535,10
2,65522,149,5,28,65535,10
2,65519,179,6,24,65535,10
2,65516,209,7,12,65535,10
2,1424,15122,506,5,65535,10
2,1427,15152,507,6,65535,10
2,65466,133,5,47,0,10
2,65452,159,6,37,0,10
2,65476,104,4,71,1,10
2,65461,130,5,100,1,10
2,65446,156,6,80,1,10
2,65431,182,7,35,1,10
2,65446,223,8,33,1,10
2,65476,104,4,16,65535,10
2,65461,130,5,22,65535,10
2,65446,156,6,19,65535,10
2,65438,186,7,9,65535,10
2,7595,13154,506,5,65535,10
2,7134,13444,507,6,65535,10
3,65521,119,4,50,0,10
3,65517,149,5,77,0,10
3,65513,179,6,66,0,10
3,65497,206,7,31,0,10
3,1902,15100,507,4,0,10
3,65521,119,4,91,1,10
3,65517,149,5,138,1,10
3,65513,179,6,118,1,10
3,46,205,7,57,1,10
3,65523,420,14,7,4,10
3,1899,15070,506,7,65535,10
3,1427,15152,507,9,65535,10
3,1430,15182,508,6,65535,10
3,30,116,4,38,0,10
3,38,145,5,60,0,10
3,45,174,6,55,0,10
3,46,205,7,28,0,10
3,61731,14736,507,3,0,10
3,30,116,4,75,1,10
3,38,145,5,118,1,10
3,39,176,6,107,1,10
3,65497,206,7,56,1,10
3,65352,378,14,6,4,10
3,61739,14707,506,6,65535,10
3,61731,14736,507,6,65535,10
3,61724,14765,508,4,65535,10
4,23,148,5,38,0,10
4,28,178,6,63,0,10
4,33,208,7,61,0,10
4,30,238,8,34,0,10
4,63167,14973,505,3,0,10
4,63163,15003,506,3,0,10
4,23,148,5,76,1,10
4,28,178,6,126,1,10
4,33,208,7,121,1,10
4,30,238,8,69,1,10
4,23,179,6,87,2,10
4,26,208,7,84,2,10
4,28,178,6,9,65535,10
4,33,208,7,9,65535,10
4,63172,14943,504,3,65535,10
4,63167,14973,505,6,65535,10
4,62688,14920,506,7,65535,10
4,2854,14949,507,4,65535,10
4,65503,146,5,38,0,10
4,65497,176,6,61,0,10
4,65490,205,7,57,0,10
4,65476,233,8,30,0,10
4,3316,14792,505,3,0,10
4,3323,14821,506,3,0,10
4,65503,146,5,69,1,10
4,65497,176,6,111,1,10
4,65483,203,7,101,1,10
4,65476,233,8,54,1,10
4,65491,174,6,69,2,10
4,65483,203,7,63,2,10
4,65497,176,6,8,65535,10
4,65490,205,7,7,65535,10
4,3310,14763,504,3,65535,10
4,3316,14792,505,6,65535,10
4,2848,14920,506,7,65535,10
4,62682,14949,507,4,65535,10
5,20,209,7,30,0,10
5,23,239,8,37,0,10
5,25,269,9,27,0,10
5,17,179,6,35,1,10
5,20,209,7,75,1,10
5,23,239,8,93,1,10
5,17,270,9,69,1,10
5,20,209,7,74,2,10
5,15,240,8,91,2,10
5,17,270,9,69,2,10
5,64590,15100,504,5,65534,10
5,64115,15092,505,4,65534,10
5,20,209,7,6,65535,10
5,23,239,8,8,65535,10
5,64120,15033,503,3,65535,10
5,64118,15063,504,4,65535,10
5,63641,15040,505,4,65535,10
5,65477,202,7,24,0,10
5,65468,230,8,29,0,10
5,65460,259,9,21,0,10
5,65485,173,6,25,1,10
5,65477,202,7,54,1,10
5,65468,230,8,66,1,10
5,65452,257,9,49,1,10
5,65477,202,7,4,65535,10
5,65468,230,8,6,65535,10
5,4247,14490,503,2,65535,10
5,4255,14519,504,4,65535,10
5,3790,14678,505,3,65535,10
6,65521,240,8,45,0,10
6,65519,270,9,89,0,10
6,65517,300,10,98,0,10
6,65515,330,11,62,0,10
6,65502,359,12,21,0,10
6,942,15040,502,5,0,10
6,944,15070,503,5,0,10
6,65521,240,8,102,1,10
6,65519,270,9,197,1,10
6,65517,300,10,215,1,10
6,65505,329,11,137,1,10
6,65502,359,12,46,1,10
6,65521,240,8,88,2,10
6,65519,270,9,168,2,10
6,65517,300,10,182,2,10
6,65505,329,11,115,2,10
6,65502,359,12,39,2,10
6,1410,14973,501,6,65534,10
6,942,15040,502,10,65534,10
6,944,15070,503,9,65534,10
6,946,15100,504,5,65534,10
6,65521,240,8,9,65535,10
6,65519,270,9,17,65535,10
6,65517,300,10,19,65535,10
6,65505,329,11,12,65535,10
6,940,15010,501,7,65535,10
6,942,15040,502,11,65535,10
6,472,15092,503,10,65535,10
6,473,15122,504,5,65535,10
6,65431,216,8,33,0,10
6,65418,243,9,65,0,10
6,65405,270,10,73,0,10
6,65381,292,11,48,0,10
6,65367,318,12,17,0,10
6,6606,13577,503,3,0,10
6,65367,318,12,34,1,10
6,65381,292,11,9,65535,10
6,6580,13523,501,5,65535,10
6,6593,13550,502,8,65535,10
6,6606,13577,503,8,65535,10
6,6619,13604,504,4,65535,10
7,65517,300,10,49,0,10
7,65515,330,11,70,0,10
7,65513,360,12,57,0,10
7,65512,389,13,27,0,10
7,940,15010,501,3,0,10
7,65517,300,10,106,1,10
7,65515,330,11,149,1,10
7,65513,360,12,124,1,10
7,65512,389,13,59,1,10
7,65517,300,10,85,2,10
7,65515,330,11,121,2,10
7,65513,360,12,101,2,10
7,65512,389,13,48,2,10
7,65513,360,12,21,3,10
7,938,14980,500,5,65534,10
7,940,15010,501,6,65534,10
7,942,15040,502,4,65534,10
7,65527,300,10,9,65535,10
7,65515,330,11,13,65535,10
7,65513,360,12,10,65535,10
7,469,15002,500,6,65535,10
7,470,15032,501,7,65535,10
7,471,15062,502,5,65535,10
8,0,330,11,27,0,10
8,65525,360,12,49,0,10
8,65524,390,13,50,0,10
8,65510,419,14,28,0,10
8,0,330,11,55,1,10
8,65525,360,12,99,1,10
8,65512,389,13,99,1,10
