frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65283,161,10,9,65535,10
1,65348,150,8,10,0,10
1,65316,157,9,15,0,10
1,65292,175,10,13,0,10
1,65348,150,8,10,65534,10
1,65325,169,9,15,65534,10
1,65301,187,10,13,65534,10
1,65341,140,8,19,65535,10
1,65316,157,9,29,65535,10
1,65292,175,10,25,65535,10
2,65392,153,7,18,0,10
2,65371,174,8,23,0,10
2,65350,196,9,17,0,10
2,65398,159,7,42,65534,10
2,65378,181,8,53,65534,10
2,65350,196,9,40,65534,10
2,65392,153,7,45,65535,10
2,65363,167,8,58,65535,10
2,65342,188,9,44,65535,10
3,65470,135,5,15,0,10
3,65457,162,6,25,0,10
3,65444,189,7,24,0,10
3,65431,216,8,14,0,10
3,65463,165,6,40,65534,10
3,65451,192,7,40,65534,10
3,65438,219,8,24,65534,10
3,65470,135,5,33,65535,10
3,65457,162,6,54,65535,10
3,65444,189,7,53,65535,10
3,65431,216,8,31,65535,10
4,65513,118,4,28,0,10
4,65508,147,5,44,0,10
4,65502,177,6,40,0,10
4,65418,174,7,21,0,10
4,2848,14920,506,4,1,10
4,2854,14949,507,4,1,10
4,65456,127,5,43,65534,10
4,65440,153,6,41,65534,10
4,65510,117,4,52,65535,10
4,65503,146,5,83,65535,10
4,65497,176,6,76,65535,10
4,65468,99,4,25,0,10
4,65452,124,5,40,0,10
4,65435,149,6,38,0,10
4,65490,205,7,21,0,10
4,8544,12558,506,4,1,10
4,8085,12894,507,4,1,10
4,65513,148,5,40,65534,10
4,65502,177,6,36,65534,10
4,65468,99,4,44,65535,10
4,65452,124,5,70,65535,10
4,65435,149,6,67,65535,10
5,15,119,4,12,0,10
5,19,149,5,15,0,10
5,28,178,6,14,0,10
5,56,106,4,25,1,10
5,70,133,5,30,1,10
5,28,178,6,24,1,10
5,33,208,7,19,1,10
5,56,106,4,12,2,10
5,70,133,5,15,2,10
5,23,179,6,13,2,10
5,60,104,4,11,0,10
5,75,130,5,14,0,10
5,96,153,6,11,0,10
5,11,120,4,24,1,10
5,19,149,5,28,1,10
5,90,156,6,21,1,10
5,112,178,7,17,1,10
5,11,120,4,10,2,10
5,19,149,5,13,2,10
5,90,156,6,13,2,10
6,152,97,6,10,0,10
6,177,113,7,12,0,10
6,210,116,8,9,0,10
6,122,87,5,14,1,10
6,152,97,6,28,1,10
6,177,113,7,34,1,10
6,203,129,8,26,1,10
6,236,131,9,12,1,10
6,152,97,6,29,2,10
6,177,113,7,36,2,10
6,203,129,8,28,2,10
6,228,145,9,12,2,10
6,177,113,7,11,3,10
