frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65301,187,10,11,65535,10
1,65356,159,8,11,0,10
1,65333,179,9,17,0,10
1,65311,199,10,16,0,10
1,65278,206,11,9,0,10
1,65363,167,8,11,65534,10
1,65342,188,9,17,65534,10
1,65320,209,10,15,65534,10
1,65288,218,11,9,65534,10
1,65356,159,8,21,65535,10
1,65333,179,9,32,65535,10
1,65301,187,10,29,65535,10
1,65278,206,11,17,65535,10
2,65398,159,7,20,0,10
2,65378,181,8,30,0,10
2,65359,204,9,26,0,10
2,65339,227,10,13,0,10
2,65398,159,7,21,65534,10
2,65378,181,8,31,65534,10
2,65359,204,9,27,65534,10
2,65339,227,10,13,65534,10
2,65418,136,6,13,65535,10
2,65392,153,7,38,65535,10
2,65371,174,8,56,65535,10
2,65350,196,9,49,65535,10
2,65330,218,10,24,65535,10
3,65456,127,5,14,0,10
3,65440,153,6,38,0,10
3,65424,178,7,57,0,10
3,65408,203,8,50,0,10
3,65392,229,9,24,0,10
3,8037,12818,504,4,1,10
3,8053,12843,505,5,1,10
3,8069,12869,506,4,1,10
3,65446,156,6,38,65534,10
3,65431,182,7,57,65534,10
3,65416,208,8,49,65534,10
3,65401,234,9,24,65534,10
3,65456,127,5,26,65535,10
3,65440,153,6,72,65535,10
3,65424,178,7,106,65535,10
3,65408,203,8,93,65535,10
3,65392,229,9,46,65535,10
3,65300,131,9,17,65534,10
4,65503,146,5,11,0,10
4,65491,174,6,18,0,10
4,65483,203,7,18,0,10
4,65476,233,8,10,0,10
4,65151,2431,82,21,65533,10
4,65069,2447,83,41,65533,10
4,65063,2477,84,43,65533,10
4,65058,2506,85,25,65533,10
4,65498,145,5,25,65535,10
4,65491,174,6,41,65535,10
4,65483,203,7,40,65535,10
4,65476,233,8,22,65535,10
4,65442,117,5,8,0,10
4,65423,141,6,13,0,10
4,65405,164,7,13,0,10
4,65386,187,8,8,0,10
4,64101,2110,85,17,65533,10
4,65386,187,8,17,65535,10
5,6,180,6,10,1,10
5,0,180,6,14,65535,10
5,65474,169,6,8,1,10
5,65463,165,6,11,65535,10
6,72,197,7,45,1,10
6,65529,210,7,35,1,10
7,107,145,6,65,0,10
7,125,169,7,93,0,10
7,143,193,8,79,0,10
7,160,217,9,40,0,10
7,56553,12174,504,4,0,10
7,56535,12198,505,5,0,10
7,101,149,6,132,1,10
7,118,174,7,188,1,10
7,135,199,8,160,1,10
7,152,223,9,81,1,10
7,101,149,6,60,2,10
7,118,174,7,85,2,10
7,135,199,8,72,2,10
7,152,223,9,37,2,10
7,56571,12150,503,4,65535,10
7,56553,12174,504,9,65535,10
7,56535,12198,505,11,65535,10
7,56517,12222,506,8,65535,10
8,151,146,7,23,0,10
8,173,167,8,30,0,10
8,194,188,9,24,0,10
8,144,153,7,47,1,10
8,165,174,8,60,1,10
8,194,188,9,48,1,10
8,144,153,7,21,2,10
8,165,174,8,27,2,10
8,186,196,9,22,2,10
9,158,139,7,9,0,10
9,180,159,8,14,0,10
9,211,169,9,13,0,10
9,158,139,7,22,1,10
9,180,159,8,33,1,10
9,203,179,9,29,1,10
9,225,199,10,15,1,10
9,151,146,7,8,2,10
9,180,159,8,13,2,10
9,203,179,9,11,2,10
10,188,150,8,13,1,10
10,211,169,9,15,1,10
11,188,150,8,9,1,10
11,211,169,9,12,1,10
11,244,175,10,10,1,10
