frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65266,238,12,10,65535,10
0,65256,271,13,9,65535,10
1,65309,240,11,7,0,10
1,65288,262,12,9,0,10
1,65299,230,11,16,65535,10
1,65277,250,12,21,65535,10
1,65268,283,13,14,65535,10
2,65339,227,10,11,0,10
2,65319,249,11,18,0,10
2,65300,272,12,18,0,10
2,65268,283,13,11,0,10
2,65348,234,10,9,65534,10
2,65319,249,11,15,65534,10
2,65300,272,12,15,65534,10
2,65280,294,13,9,65534,10
2,65339,227,10,23,65535,10
2,65309,240,11,35,65535,10
2,65288,262,12,35,65535,10
2,65268,283,13,22,65535,10
2,65236,0,10,7,65534,10
2,65206,0,11,11,65534,10
3,65291,114,9,13,0,10
3,65377,254,10,24,0,10
3,65361,280,11,24,0,10
3,65345,305,12,11,0,10
3,65291,114,9,20,65534,10
3,65264,127,10,33,65534,10
3,65361,280,11,31,65534,10
3,65210,152,12,15,65534,10
3,65392,229,9,26,65535,10
3,65367,248,10,50,65535,10
3,65350,273,11,49,65535,10
3,65333,298,12,23,65535,10
3,65392,229,9,12,0,10
3,65264,127,10,22,0,10
3,65237,140,11,20,0,10
3,65210,152,12,10,0,10
3,65401,234,9,16,65534,10
3,65377,254,10,32,65534,10
3,65237,140,11,30,65534,10
3,65345,305,12,15,65534,10
3,65283,94,9,25,65535,10
3,65255,104,10,40,65535,10
3,65226,115,11,37,65535,10
3,65198,125,12,19,65535,10
4,65444,189,7,35,0,10
4,65431,216,8,91,0,10
4,65418,243,9,127,0,10
4,65405,270,10,102,0,10
4,65381,292,11,47,0,10
4,7064,13311,502,5,0,10
4,6606,13577,503,7,0,10
4,6619,13604,504,5,0,10
4,65423,212,8,15,1,10
4,65409,239,9,22,1,10
4,65395,265,10,17,1,10
4,6580,13523,501,4,1,10
4,6593,13550,502,11,1,10
4,6606,13577,503,14,1,10
4,6619,13604,504,10,1,10
4,6580,13523,501,3,2,10
4,6593,13550,502,7,2,10
4,6606,13577,503,9,2,10
4,6619,13604,504,7,2,10
4,65431,216,8,126,65534,10
4,65418,243,9,175,65534,10
4,65405,270,10,142,65534,10
4,65392,297,11,65,65534,10
4,65438,186,7,71,65535,10
4,65423,212,8,185,65535,10
4,65409,239,9,256,65535,10
4,65395,265,10,208,65535,10
4,65381,292,11,96,65535,10
4,65356,312,12,23,65535,10
4,12219,8767,501,2,2,10
4,65268,192,11,48,65534,10
4,65221,174,12,18,65535,10
5,65497,206,7,86,0,10
5,65491,236,8,120,0,10
5,65485,265,9,98,0,10
5,65480,295,10,44,0,10
5,2831,14831,503,5,0,10
5,2837,14861,504,6,0,10
5,2842,14890,505,5,0,10
5,65497,206,7,25,1,10
5,65491,236,8,35,1,10
5,65485,265,9,28,1,10
5,2355,14884,502,5,1,10
5,2359,14914,503,11,1,10
5,2364,14943,504,13,1,10
5,2369,14973,505,10,1,10
5,65498,237,8,98,65534,10
5,65494,267,9,80,65534,10
5,65497,206,7,180,65535,10
5,65491,236,8,251,65535,10
5,65485,265,9,204,65535,10
5,65480,295,10,93,65535,10
5,65367,248,10,33,0,10
5,8005,12767,502,3,1,10
5,8021,12792,503,8,1,10
5,8037,12818,504,10,1,10
5,8053,12843,505,7,1,10
5,65408,203,8,79,65534,10
5,65392,229,9,66,65534,10
6,None, None, None, None, None
7,105,216,8,57,0,10
7,118,243,9,59,0,10
7,105,216,8,114,1,10
7,118,243,9,116,1,10
7,98,219,8,53,2,10
7,58458,13338,503,6,65535,10
7,58444,13364,504,6,65535,10
8,143,193,8,27,0,10
8,160,217,9,40,0,10
8,178,242,10,34,0,10
8,143,193,8,53,1,10
8,160,217,9,78,1,10
8,178,242,10,68,1,10
8,160,217,9,36,2,10
8,178,242,10,32,2,10
9,206,218,10,30,1,10
10,225,199,10,13,0,10
10,248,218,11,13,0,10
10,225,199,10,29,1,10
10,248,218,11,29,1,10
10,270,238,12,18,1,10
10,225,199,10,11,2,10
11,268,192,11,7,0,10
11,235,187,10,14,1,10
11,258,206,11,18,1,10
11,293,210,12,13,1,10
