frame,x,y,range_idx,peak_value,doppler_idx,xyz_q_format
0,65442,75,4,14,0,10
0,65414,87,5,15,0,10
0,65390,105,6,10,0,10
0,65502,83,3,27,1,10
0,65491,111,4,37,1,10
0,65414,87,5,35,1,10
0,65384,97,6,24,1,10
0,65346,89,7,13,1,10
0,65502,83,3,16,65535,10
0,65491,111,4,21,65535,10
0,65484,141,5,17,65535,10
0,65480,171,6,9,65535,10
0,65466,56,3,21,1,10
0,65442,75,4,35,1,10
0,65475,137,5,33,1,10
0,65468,167,6,18,1,10
0,65497,206,7,11,1,10
0,163,76,6,7,65535,10
1,65471,63,3,38,0,10
1,65450,83,4,61,0,10
1,65428,104,5,59,0,10
1,65407,125,6,35,0,10
1,65385,146,7,13,0,10
1,65468,60,3,74,1,10
1,65446,79,4,118,1,10
1,65423,99,5,115,1,10
1,65401,119,6,71,1,10
1,65378,139,7,28,1,10
1,65468,60,3,49,2,10
1,65446,79,4,82,2,10
1,65423,99,5,82,2,10
1,65401,119,6,53,2,10
1,65365,122,7,25,2,10
1,65453,87,4,9,65535,10
1,65433,109,5,9,65535,10
1,10939,10581,507,6,65535,10
1,10960,10602,508,7,65535,10
1,10982,10623,509,4,65535,10
1,65502,115,4,8,65535,10
1,65494,144,5,7,65535,10
2,65468,99,4,14,2,10
2,65452,124,5,26,2,10
2,65435,149,6,28,2,10
2,65411,169,7,17,2,10
2,65465,97,4,21,3,10
2,65447,121,5,40,3,10
2,65429,145,6,43,3,10
2,65411,169,7,26,3,10
2,65447,121,5,17,4,10
2,65429,145,6,18,4,10
2,65411,169,7,10,4,10
2,65362,45,6,20,2,10
2,65332,52,7,14,2,10
2,65332,52,7,20,3,10
2,65332,52,7,8,4,10
3,65371,174,8,16,2,10
3,65350,196,9,17,2,10
3,65385,146,7,21,3,10
3,65363,167,8,38,3,10
3,65342,188,9,41,3,10
3,65320,209,10,26,3,10
3,65385,146,7,14,4,10
3,65363,167,8,27,4,10
3,65342,188,9,28,4,10
3,65311,199,10,18,4,10
4,65339,227,10,12,2,10
4,65319,249,11,20,2,10
4,65300,272,12,18,2,10
4,65268,283,13,9,2,10
4,65330,218,10,14,3,10
4,65309,240,11,23,3,10
4,65288,262,12,21,3,10
4,65268,283,13,11,3,10
5,65341,338,13,24,1,10
5,65326,364,14,21,1,10
5,65345,305,12,16,2,10
5,65341,338,13,26,2,10
5,65326,364,14,22,2,10
6,65365,384,14,15,0,10
6,65353,411,15,20,0,10
6,65326,432,16,18,0,10
6,65249,422,17,30,0,10
6,65249,458,18,28,0,10
6,65352,378,14,28,1,10
6,65353,411,15,38,1,10
6,65311,424,16,35,1,10
6,65249,422,17,56,1,10
6,65232,447,18,53,1,10
6,65339,405,15,22,2,10
6,65311,424,16,21,2,10
6,65249,422,17,32,2,10
6,65232,447,18,30,2,10
6,65208,262,14,11,0,10
6,65184,281,15,16,0,10
6,65195,245,14,20,1,10
6,65184,281,15,28,1,10
7,65476,477,16,10,0,10
7,65461,474,16,20,1,10
7,65296,416,16,8,0,10
7,65296,416,16,15,1,10
8,65491,478,16,12,65535,10
8,65488,508,17,12,65535,10
9,39,418,14,21,0,10
9,42,448,15,29,0,10
9,45,478,16,25,0,10
9,48,508,17,16,0,10
9,64793,2030,72,78,1,10
9,53,417,14,27,65534,10
9,56,447,15,37,65534,10
9,60,477,16,33,65534,10
9,48,508,17,26,65534,10
9,39,418,14,42,65535,10
9,42,448,15,58,65535,10
9,45,478,16,50,65535,10
9,32,509,17,35,65535,10
10,113,342,12,16,65533,10
10,122,371,13,26,65533,10
10,131,399,14,22,65533,10
10,141,428,15,9,65533,10
10,135,461,16,13,65533,10
10,113,342,12,19,65534,10
10,122,371,13,30,65534,10
10,131,399,14,25,65534,10
11,207,331,13,11,65532,10
11,141,265,10,22,65533,10
11,155,292,11,19,65533,10
12,57971,13102,504,5,3,10
12,112,178,7,42,65532,10
12,120,208,8,48,65532,10
12,84,159,6,39,65533,10
12,98,186,7,82,65533,10
12,113,212,8,95,65533,10
12,127,239,9,62,65533,10
12,90,156,6,21,65534,10
12,105,182,7,44,65534,10
12,120,208,8,52,65534,10
12,127,239,9,35,65534,10
13,45,111,4,14,0,10
13,56,139,5,26,0,10
13,68,167,6,27,0,10
13,79,195,7,16,0,10
13,56,139,5,5,1,10
13,68,167,6,5,1,10
13,59840,14081,506,5,1,10
13,59829,14109,507,5,1,10
13,59378,13852,505,4,2,10
13,59365,13879,506,7,2,10
13,59353,13907,507,6,2,10
13,56,139,5,45,65533,10
13,68,167,6,52,65533,10
13,79,195,7,39,65533,10
13,83,226,8,22,65533,10
13,84,257,9,15,65533,10
13,197,227,10,14,65533,10
13,49,110,4,57,65534,10
13,61,137,5,107,65534,10
13,73,165,6,118,65534,10
13,85,192,7,80,65534,10
13,98,219,8,34,65534,10
13,45,111,4,51,65535,10
13,52,141,5,94,65535,10
13,62,169,6,101,65535,10
13,72,197,7,66,65535,10
13,83,226,8,25,65535,10
13,0,120,4,12,0,10
13,0,150,5,21,0,10
13,0,180,6,21,0,10
13,0,210,7,12,0,10
13,0,150,5,4,1,10
13,65530,180,6,4,1,10
13,0,15189,506,4,1,10
13,0,15219,507,4,1,10
13,51324,5275,505,4,2,10
13,65061,15182,506,5,2,10
13,65060,15212,507,5,2,10
13,0,150,5,38,65533,10
13,0,180,6,44,65533,10
13,0,210,7,32,65533,10
13,169,211,9,11,65533,10
13,84,288,10,11,65533,10
13,4,120,4,55,65534,10
13,5,150,5,102,65534,10
13,6,180,6,112,65534,10
13,7,210,7,74,65534,10
13,8,240,8,29,65534,10
13,0,120,4,38,65535,10
13,0,150,5,70,65535,10
13,0,180,6,74,65535,10
13,0,210,7,47,65535,10
14,14,89,3,41,0,10
14,15,119,4,72,0,10
14,19,149,5,67,0,10
14,79,162,6,49,0,10
14,66,200,7,36,0,10
14,53,234,8,27,0,10
14,58402,13444,507,3,0,10
14,63153,15062,508,4,0,10
14,15,119,4,15,1,10
14,14,149,5,16,1,10
14,17,179,6,10,1,10
14,58416,13417,506,4,1,10
14,63158,15032,507,7,1,10
14,63153,15062,508,8,1,10
14,19,119,4,68,65534,10
14,23,148,5,62,65534,10
14,84,159,6,45,65534,10
14,66,200,7,38,65534,10
14,60,233,8,30,65534,10
14,11,89,3,80,65535,10
14,15,119,4,141,65535,10
